
2025/02/28 (12:32:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (13:54:18) | ===> btop++ v.1.4.0
2025/02/28 (13:54:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (14:34:24) | ===> btop++ v.1.4.0
2025/02/28 (14:34:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (14:51:20) | ===> btop++ v.1.4.0
2025/02/28 (14:51:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (19:43:32) | ===> btop++ v.1.4.0
2025/02/28 (19:43:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (09:09:03) | ===> btop++ v.1.4.0
2025/03/01 (09:09:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (09:11:54) | ===> btop++ v.1.4.0
2025/03/01 (09:11:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (10:23:39) | ===> btop++ v.1.4.0
2025/03/01 (10:23:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (10:23:59) | ===> btop++ v.1.4.0
2025/03/01 (10:23:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (10:26:33) | ===> btop++ v.1.4.0
2025/03/01 (10:26:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (10:39:13) | ===> btop++ v.1.4.0
2025/03/01 (10:39:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (11:31:10) | ===> btop++ v.1.4.0
2025/03/01 (11:31:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (11:33:36) | ===> btop++ v.1.4.0
2025/03/01 (11:33:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (11:35:44) | ===> btop++ v.1.4.0
2025/03/01 (11:35:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (12:31:44) | ===> btop++ v.1.4.0
2025/03/01 (12:31:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (13:47:25) | ===> btop++ v.1.4.0
2025/03/01 (13:47:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (13:57:01) | ===> btop++ v.1.4.0
2025/03/01 (13:57:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (14:31:15) | ===> btop++ v.1.4.0
2025/03/01 (14:31:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (14:47:10) | ===> btop++ v.1.4.0
2025/03/01 (14:47:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (15:01:21) | ===> btop++ v.1.4.0
2025/03/01 (15:01:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/01 (15:03:23) | ===> btop++ v.1.4.0
